Company Name,Market Cap,Close Price,Price Change,Percentage
Adani Total Gas Ltd.,"M.Cap: 175,403 Cr","1,617.00",+22.95,+1.4%
Hindustan Zinc Ltd.,"M.Cap: 143,619 Cr",343.45,+3.45,+1.0%
Steel Authority Of India Ltd.,"M.Cap: 53,098 Cr",130.65,+2.10,+1.6%
Cholamandalam Investment & Finance Company Ltd.,"M.Cap: 46,391 Cr",561.50,-4.25,-0.8%
Balkrishna Industries Ltd.,"M.Cap: 43,869 Cr","2,252.65",-16.65,-0.7%
Bank Of Baroda,"M.Cap: 43,827 Cr",84.70,-0.05,-0.1%
PI Industries Ltd.,"M.Cap: 43,070 Cr","2,834.65",+1.90,+0.1%
Container Corporation Of India Ltd.,"M.Cap: 42,459 Cr",689.00,-7.60,-1.1%
Gujarat Gas Ltd.,"M.Cap: 42,171 Cr",607.90,-4.75,-0.8%
SRF Ltd.,"M.Cap: 41,930 Cr","7,064.30",-11.45,-0.2%
Jindal Steel & Power Ltd.,"M.Cap: 41,346 Cr",407.60,+2.15,+0.5%
Tata Power Company Ltd.,"M.Cap: 40,773 Cr",125.35,-2.25,-1.8%
Mindtree Ltd.,"M.Cap: 40,198 Cr","2,466.65",+27.65,+1.1%
Godrej Properties Ltd.,"M.Cap: 39,981 Cr","1,426.80",-12.15,-0.8%
IDFC First Bank Ltd.,"M.Cap: 37,428 Cr",60.10,-0.25,-0.4%
Ashok Leyland Ltd.,"M.Cap: 37,208 Cr",130.00,+3.15,+2.5%
Shriram Transport Finance Company Ltd.,"M.Cap: 37,204 Cr","1,476.20",+6.20,+0.4%
Bharat Electronics Ltd.,"M.Cap: 37,024 Cr",151.85,-0.20,-0.1%
Mphasis Ltd.,"M.Cap: 36,755 Cr","2,019.50",+55.30,+2.8%
Max Financial Services Ltd.,"M.Cap: 35,465 Cr","1,020.05",-7.90,-0.8%
Bharat Forge Ltd.,"M.Cap: 35,329 Cr",751.40,-6.95,-0.9%
